"Transaction Date","Transaction Time","Card Number","Trans ID",Units,"Unit Cost","Net Cost","Product Description","Merchant City","Merchant State / Province","Outside of Home States","Outside of Service Area",Weekend,Holiday,"Irregular Hours","Purchase > $100","Not Unleaded Regular"
2024-06-06,16:17:00,NY16,28956930970,17.072,3.539,60.42,"Unleaded Regular","Cortlandt Manor",NY,0,0,0,0,1,0,0
2024-06-26,07:59:00,NY16,29199708950,18.19,4.299,78.23,"Unleaded Plus",Yonkers,NY,0,1,0,0,0,0,1
2024-06-27,16:14:00,NY16,29220634570,14.07,3.759,52.89,"Unleaded Regular","Cortlandt Manor",NY,0,0,0,0,1,0,0
2024-07-08,16:12:00,NY16,29334227990,14.604,3.499,51.1,"Unleaded Regular","Cortlandt Manor",NY,0,0,0,0,1,0,0
2024-07-25,16:08:00,NY16,29545503420,15.683,3.899,61.15,"Unleaded Regular","Cortlandt Manor",NY,0,0,0,0,1,0,0
2024-07-05,18:05:00,NY17,29309079820,24.806,4.498,111.6,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-05,01:06:00,NY17,29300795870,62.649,4.499,281.86,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-05,21:40:00,NY17,29308765050,32.34,5.098,164.9,"Mid/Plus 2",Bronx,NY,0,1,0,0,1,1,1
2024-07-06,13:32:00,NY17,29315682140,51.719,4.498,232.68,"Unleaded Super",Bronx,NY,0,1,1,0,0,1,1
2024-07-06,15:51:00,NY17,29315822640,33.537,4.599,154.24,"Unleaded Super",Bronx,NY,0,1,1,0,0,1,1
2024-07-07,17:08:00,NY17,29320963600,21.378,4.599,98.32,"Unleaded Super",Bronx,NY,0,1,1,0,1,0,1
2024-07-07,20:14:00,NY17,29320963590,14.348,4.599,65.99,"Unleaded Super",Bronx,NY,0,1,1,0,1,0,1
2024-07-08,00:47:00,NY17,29332375170,19.671,4.599,90.47,"Unleaded Super",Bronx,NY,0,1,0,0,1,0,1
2024-07-22,18:26:00,NY17,29509361520,16.976,4.479,76.04,"Unleaded Super",Bronx,NY,0,1,0,0,1,0,1
2024-07-22,16:10:00,NY17,29510004460,30.109,4.598,138.47,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-21,23:16:00,NY17,29498492630,41.427,4.198,173.95,"Unleaded Plus",Bronx,NY,0,1,1,0,1,1,1
2024-07-02,21:03:00,NY17,29276132340,28.783,4.558,131.22,"Mid/Plus 2",Bronx,NY,0,1,0,0,1,1,1
2024-06-27,18:31:00,NY17,29220680470,32.106,4.599,147.66,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-06-28,17:43:00,NY17,29236250190,27.97,4.559,127.52,"Unleaded Super","New York",NY,0,1,0,0,1,1,1
2024-06-28,23:38:00,NY17,29235684920,47.662,4.438,211.57,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-06-30,12:07:00,NY17,29250337210,38.521,4.599,177.16,"Unleaded Super",Bronx,NY,0,1,1,0,0,1,1
2024-06-30,14:37:00,NY17,29250230950,8.462,4.438,37.56,"Unleaded Super",Bronx,NY,0,1,1,0,0,0,1
2024-07-01,17:44:00,NY17,29261519610,47.865,4.598,220.13,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-01,21:34:00,NY17,29261519600,13.166,4.598,60.55,"Unleaded Super",Bronx,NY,0,1,0,0,1,0,1
2024-07-02,10:42:00,NY17,29276825960,15.649,4.198,65.71,"Unleaded Plus",Bronx,NY,0,1,0,0,0,0,1
2024-07-21,16:21:00,NY17,29498492640,65.231,4.599,300,"Unleaded Super",Bronx,NY,0,1,1,0,1,1,1
2024-07-02,22:15:00,NY17,29276825970,22.309,3.798,84.75,"Unleaded Regular",Bronx,NY,0,1,0,0,1,0,0
2024-07-03,12:22:00,NY17,29292232170,16.694,4.599,76.78,"Unleaded Super",Bronx,NY,0,1,0,0,0,0,1
2024-07-03,13:52:00,NY17,29292232190,21.65,4.599,99.57,"Unleaded Super",Bronx,NY,0,1,0,0,0,0,1
2024-07-03,22:28:00,NY17,29292232180,18.166,4.599,83.55,"Unleaded Super",Bronx,NY,0,1,0,0,1,0,1
2024-07-04,12:57:00,NY17,29300894680,19.707,4.598,90.63,"Unleaded Super",Bronx,NY,0,1,0,1,0,0,1
2024-07-04,18:38:00,NY17,29300894670,16.09,4.599,74,"Unleaded Super",Bronx,NY,0,1,0,1,1,0,1
2024-07-04,22:26:00,NY17,29300894660,13.1,4.599,60.25,"Unleaded Super",Bronx,NY,0,1,0,1,1,0,1
2024-07-12,22:48:00,NY17,29394626840,20.665,4.599,95.04,"Unleaded Super",Bronx,NY,0,1,0,0,1,0,1
2024-07-09,20:16:00,NY17,29347987120,35.378,4.598,162.7,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-09,21:27:00,NY17,29347620980,28.327,4.498,127.44,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-10,12:45:00,NY17,29363525050,10.063,4.498,45.27,"Unleaded Super",Bronx,NY,0,1,0,0,0,0,1
2024-07-10,21:54:00,NY17,29370482170,34.742,4.379,152.14,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-11,16:53:00,NY17,29379736210,37.073,4.599,170.5,"Unleaded Super","New York",NY,0,1,0,0,1,1,1
2024-07-11,21:39:00,NY17,29379785600,29.939,4.599,137.69,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-12,14:58:00,NY17,29394626830,15.715,4.598,72.27,"Unleaded Super",Bronx,NY,0,1,0,0,0,0,1
2024-07-12,16:50:00,NY17,29394626820,12.094,3.799,45.95,"Unleaded Regular",Bronx,NY,0,1,0,0,1,0,0
2024-07-09,19:10:00,NY17,29347266730,37.856,4.559,172.59,"Mid/Plus 2",Bronx,NY,0,1,0,0,1,1,1
2024-07-13,15:24:00,NY17,29403750430,27.666,4.599,127.24,"Unleaded Super",Bronx,NY,0,1,1,0,0,1,1
2024-07-14,14:00:00,NY17,29409808270,34.069,4.598,156.68,"Unleaded Super",Bronx,NY,0,1,1,0,0,1,1
2024-07-14,16:19:00,NY17,29409808300,43.492,4.599,200.02,"Unleaded Super",Bronx,NY,0,1,1,0,1,1,1
2024-07-14,16:55:00,NY17,29409808290,36.578,4.598,168.22,"Unleaded Super",Bronx,NY,0,1,1,0,1,1,1
2024-07-15,12:52:00,NY17,29421326820,28.364,4.599,130.45,"Unleaded Super",Bronx,NY,0,1,0,0,0,1,1
2024-07-15,16:28:00,NY17,29420604880,64.913,4.498,292.04,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-15,17:51:00,NY17,29421326830,36.094,4.599,166,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-22,20:08:00,NY17,29510004450,7.67,4.598,35.27,"Unleaded Super",Bronx,NY,0,1,0,0,1,0,1
2024-07-21,15:58:00,NY17,29498384930,35.86,4.498,161.33,"Unleaded Super",Bronx,NY,0,1,1,0,0,1,1
2024-07-20,20:11:00,NY17,29493030520,65.231,4.599,300,"Unleaded Super",Bronx,NY,0,1,1,0,1,1,1
2024-07-20,16:39:00,NY17,29493030500,11.071,4.599,50.92,"Unleaded Super",Bronx,NY,0,1,1,0,1,0,1
2024-07-20,13:46:00,NY17,29493030510,45.461,4.599,209.08,"Unleaded Super",Bronx,NY,0,1,1,0,0,1,1
2024-07-19,20:48:00,NY17,29484419050,26.959,4.598,123.98,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-19,19:55:00,NY17,29484419040,16.27,4.599,74.83,"Unleaded Super",Bronx,NY,0,1,0,0,1,0,1
2024-07-19,16:52:00,NY17,29484419060,65.231,4.599,300,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-18,16:43:00,NY17,29468719920,17.912,3.658,65.54,"Unleaded Regular",Bronx,NY,0,1,0,0,1,0,0
2024-07-16,16:58:00,NY17,29436536780,47.005,4.499,211.48,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-17,17:40:00,NY17,29453272770,32.943,4.598,151.5,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-17,14:14:00,NY17,29452514840,15.678,4.519,70.85,"Future Defined",Bronx,NY,0,1,0,0,0,0,1
2024-07-17,02:27:00,NY17,29436618010,14.924,4.559,68.04,"Mid/Plus 2",Bronx,NY,0,1,0,0,1,0,1
2024-07-16,22:00:00,NY17,29436536770,44.509,4.499,200.25,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-16,19:45:00,NY17,29437284080,33.271,4.198,139.7,"Unleaded Plus",Bronx,NY,0,1,0,0,1,1,1
2024-07-08,11:58:00,NY17,29331701430,26.086,4.799,125.19,"Unleaded Super",Bronx,NY,0,1,0,0,0,1,1
2024-07-08,12:10:00,NY17,29331701440,39.711,4.798,190.57,"Unleaded Super",Bronx,NY,0,1,0,0,0,1,1
2024-07-30,19:35:00,NY17,29613390820,9.084,3.798,34.51,"Unleaded Regular",Bronx,NY,0,1,0,0,1,0,0
2024-07-23,19:56:00,NY17,29525669470,58.545,4.458,261.05,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-24,16:42:00,NY17,29540019730,42.089,4.599,193.57,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-24,22:23:00,NY17,29531899570,20.703,4.558,94.38,"Unleaded Super",Bronx,NY,0,1,0,0,1,0,1
2024-07-25,14:58:00,NY17,29552754880,11.69,4.799,56.11,"Unleaded Super","New York",NY,0,1,0,0,0,0,1
2024-07-25,20:33:00,NY17,29552754900,29.56,4.799,141.89,"Unleaded Super","New York",NY,0,1,0,0,1,1,1
2024-07-25,20:52:00,NY17,29552754910,14.77,4.799,70.91,"Unleaded Super","New York",NY,0,1,0,0,1,0,1
2024-07-26,17:12:00,NY17,29572518530,42.075,4.598,193.5,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-26,17:50:00,NY17,29572518510,25.203,4.599,115.91,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-26,20:51:00,NY17,29572518520,40.176,4.599,184.77,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-27,20:50:00,NY17,29580738230,6.868,4.599,31.59,"Unleaded Super",Bronx,NY,0,1,1,0,1,0,1
2024-07-28,22:09:00,NY17,29585978520,35.275,4.898,172.81,"Unleaded Super",Bronx,NY,0,1,1,0,1,1,1
2024-07-30,19:00:00,NY17,29612951010,17.019,4.578,77.93,"Unleaded Super",Bronx,NY,0,1,0,0,1,0,1
2024-06-25,23:23:00,NY17,29204525180,27.091,4.799,130.01,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-30,20:15:00,NY17,29605707250,33.522,4.599,154.17,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-07-31,21:01:00,NY17,29619758610,32.335,4.638,150,"Regular Diesel #2",Bronx,NY,0,1,0,0,1,1,1
2024-08-01,18:26:00,NY17,29634933710,8.484,3.899,33.08,"Unleaded Plus",Bronx,NY,0,1,0,0,1,0,1
2024-08-01,22:31:00,NY17,29635710250,43.113,4.638,200,"Regular Diesel #2",Bronx,NY,0,1,0,0,1,1,1
2024-08-02,14:09:00,NY17,29660148600,27.437,4.598,126.18,"Unleaded Super",Bronx,NY,0,1,0,0,0,1,1
2024-08-02,17:16:00,NY17,29660148590,20.748,3.798,78.82,"Unleaded Regular",Bronx,NY,0,1,0,0,1,0,0
2024-08-02,18:48:00,NY17,29660148610,48.091,4.598,221.17,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-08-03,19:17:00,NY17,29669319630,31.495,4.199,132.25,"Unleaded Plus",Bronx,NY,0,1,1,0,1,1,1
2024-08-03,21:06:00,NY17,29669310800,15.7,4.498,70.63,"Unleaded Super",Bronx,NY,0,1,1,0,1,0,1
2024-08-04,20:13:00,NY17,29674746790,24.748,4.599,113.82,"Unleaded Super",Bronx,NY,0,1,1,0,1,1,1
2024-08-04,22:03:00,NY17,29674746800,28.541,4.598,131.26,"Unleaded Super",Bronx,NY,0,1,1,0,1,1,1
2024-06-10,21:08:00,NY17,28987357370,20.365,4.099,83.48,"Unleaded Plus",Bronx,NY,0,1,0,0,1,0,1
2024-06-27,15:13:00,NY17,29220680480,32.791,4.599,150.81,"Unleaded Super",Bronx,NY,0,1,0,0,0,1,1
2024-06-25,10:46:00,NY17,29188421740,16.594,4.538,75.32,"Unleaded Super",Bronx,NY,0,1,0,0,0,0,1
2024-06-24,17:20:00,NY17,29172592350,16.686,4.539,75.74,"Unleaded Super",Bronx,NY,0,1,0,0,1,0,1
2024-06-23,23:48:00,NY17,29160570290,42.381,4.439,188.13,"Unleaded Super",Bronx,NY,0,1,1,0,1,1,1
2024-06-22,21:33:00,NY17,29155238100,20.101,4.558,91.64,"Unleaded Super",Bronx,NY,0,1,1,0,1,0,1
2024-06-21,17:26:00,NY17,29146838800,28.333,4.558,129.17,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-06-21,14:52:00,NY17,29146838790,17.576,4.559,80.13,"Unleaded Super",Bronx,NY,0,1,0,0,0,0,1
2024-06-21,00:55:00,NY17,29146838780,15.344,4.558,69.95,"Unleaded Super",Bronx,NY,0,1,0,0,1,0,1
2024-06-20,23:15:00,NY17,29130651970,16.238,4.459,72.41,"Mid/Plus 2",Bronx,NY,0,1,0,0,1,0,1
2024-06-20,21:29:00,NY17,29131005120,25.048,4.439,111.19,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-06-19,15:16:35,NY17,29108994930,16.283,4.298,70,"Unleaded Super",Bronx,NY,0,1,0,0,0,0,1
2024-06-19,13:17:00,NY17,29115655940,14.948,4.258,63.66,"Unleaded Plus",Bronx,NY,0,1,0,0,0,0,1
2024-06-16,21:48:00,NY17,29073503070,18.909,4.299,81.29,"Unleaded Super",Bronx,NY,0,1,1,0,1,0,1
2024-06-17,08:21:00,NY17,29084828930,13.248,4.319,57.22,"Unleaded Super",Bronx,NY,0,1,0,0,0,0,1
2024-07-23,17:56:00,NY17,29525669460,24.034,4.459,107.17,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-06-10,21:42:00,NY17,28995560700,20.621,3.959,81.64,"Unleaded Plus",Bronx,NY,0,1,0,0,1,0,1
2024-06-10,22:24:00,NY17,28996155360,17.395,4.599,80,"Unleaded Super",Bronx,NY,0,1,0,0,1,0,1
2024-06-12,16:02:00,NY17,29027522860,17.394,4.599,80,"Unleaded Super",Bronx,NY,0,1,0,0,1,0,1
2024-06-12,18:05:00,NY17,29027522870,50.178,4.599,230.77,"Unleaded Super",Bronx,NY,0,1,0,0,1,1,1
2024-06-14,14:23:00,NY17,29058976040,22.338,4.598,102.73,"Unleaded Super",Bronx,NY,0,1,0,0,0,1,1
2024-06-14,21:43:00,NY17,29058855530,16.462,4.038,66.49,"Unleaded Plus",Bronx,NY,0,1,0,0,1,0,1
2024-06-15,17:13:00,NY17,29067415400,23.714,4.798,113.8,"Unleaded Super",Bronx,NY,0,1,1,0,1,1,1
2024-06-15,19:55:00,NY17,29067415480,29.154,4.599,134.08,"Unleaded Super",Bronx,NY,0,1,1,0,1,1,1
2024-06-15,23:53:00,NY17,29074413080,6.975,5.799,40.45,"Unleaded Super",Bronx,NY,0,1,1,0,1,0,1
2024-06-07,21:14:00,NY18,28972267110,19.208,3.539,67.98,"Unleaded Regular","Cortlandt Manor",NY,0,0,0,0,1,0,0
2024-08-13,20:51:00,NY18,29796976060,16.717,3.958,66.18,"Unleaded Regular",Peekskill,NY,0,0,0,0,1,0,0
2024-08-09,19:32:00,NY18,29739617790,11.434,3.499,40.01,"Unleaded Regular",Peekskill,NY,0,0,0,0,1,0,0
2024-08-02,18:18:00,NY18,29655908990,11.51,3.799,43.76,"Unleaded Regular",Thornwood,NY,0,0,0,0,1,0,0
2024-07-27,17:23:27,NY18,29581077850,18.078,3.498,63.25,"Unleaded Regular",Montrose,NY,0,0,1,0,1,0,0
2024-07-20,11:40:00,NY18,29491024000,14.3,3.599,51.47,"Unleaded Regular",Buchanan,NY,0,0,1,0,0,0,0
2024-07-12,21:20:00,NY18,29394224820,15.35,4.299,65.99,"Unleaded Regular","Mount Kisco",NY,0,0,0,0,1,0,0
2024-07-06,16:31:00,NY18,29314217070,15.94,3.499,55.77,"Unleaded Regular",Montvale,NJ,1,0,1,0,1,0,0
2024-06-28,21:41:00,NY18,29241276350,16.227,3.968,64.4,"Unleaded Regular",Peekskill,NY,0,0,0,0,1,0,0
2024-06-22,16:55:00,NY18,29153287880,18.57,3.699,68.71,"Unleaded Regular",Buchanan,NY,0,0,1,0,1,0,0
2024-06-15,16:04:00,NY18,29065449700,14.64,3.699,54.17,"Unleaded Regular",Buchanan,NY,0,0,1,0,1,0,0
2024-06-10,09:38:00,NY19,28997753150,28.176,3.559,100.28,"Unleaded Regular","Wappingers Falls",NY,0,0,0,0,0,1,0
2024-06-13,09:20:00,NY2,29045091600,30.912,3.539,109.4,"Unleaded Regular","Wappingers Falls",NY,0,0,0,0,0,1,0
2024-06-25,12:53:00,NY2,29179174520,28.267,3.619,102.3,"Unleaded Regular",Fishkill,NY,0,0,0,0,0,1,0
2024-07-29,09:45:00,NY2,29597383460,30.257,3.459,104.66,"Unleaded Regular",Fishkill,NY,0,0,0,0,0,1,0
2024-08-12,16:15:00,NY20,29773095130,17.369,4.299,74.67,"Unleaded Regular","Mount Kisco",NY,0,0,0,0,1,0,0
2024-08-06,20:53:00,NY20,29692842030,15.334,4.098,62.85,"Unleaded Regular","Bedford Hills",NY,0,0,0,0,1,0,0
2024-07-31,21:38:00,NY20,29619888580,15.445,4.099,63.31,"Unleaded Regular","Mount Kisco",NY,0,0,0,0,1,0,0
2024-07-20,12:03:00,NY20,29492993260,11.191,4.298,48.11,"Unleaded Regular","Mount Kisco",NY,0,0,1,0,0,0,0
2024-07-18,18:33:00,NY20,29462795750,11.25,3.999,45,"Unleaded Regular","Shrub Oak",NY,0,0,0,0,1,0,0
2024-08-01,09:01:00,NY21,29634968030,23.408,3.958,92.67,"Unleaded Regular",Yonkers,NY,0,1,0,0,0,0,0
2024-08-14,08:41:00,NY21,29804473880,23.297,3.998,93.16,"Unleaded Regular",Yonkers,NY,0,1,0,0,0,0,0
2024-07-09,08:55:00,NY21,29347940890,23.085,3.999,92.32,"Unleaded Regular",Yonkers,NY,0,1,0,0,0,0,0
2024-06-10,08:55:00,NY21,28997841190,21.678,3.599,78.02,"Unleaded Regular",Yonkers,NY,0,1,0,0,0,0,0
2024-06-15,12:14:00,NY22,29072363930,18.732,3.838,71.91,"Unleaded Regular","Yorktown Heights",NY,0,0,1,0,0,0,0
2024-06-12,14:45:00,NY23,29017533210,32.454,4.198,136.27,"Unleaded Regular","Mount Kisco",NY,0,0,0,0,0,1,0
2024-06-22,12:37:00,NY23,29151422670,34.907,4.198,146.57,"Unleaded Regular","Mount Kisco",NY,0,0,1,0,0,1,0
2024-06-28,14:54:00,NY23,29226409290,24.657,4.198,103.53,"Unleaded Regular","Mount Kisco",NY,0,0,0,0,0,1,0
2024-07-04,11:44:00,NY23,29296624470,24.018,4.298,103.25,"Unleaded Regular","Mount Kisco",NY,0,0,0,1,0,1,0
2024-07-12,10:01:00,NY23,29385380880,31.508,4.298,135.45,"Unleaded Regular","Mount Kisco",NY,0,0,0,0,0,1,0
2024-07-19,15:28:00,NY23,29474869870,27.926,4.298,120.05,"Unleaded Regular","Mount Kisco",NY,0,0,0,0,0,1,0
2024-07-31,08:59:00,NY23,29619047540,34.715,4.299,149.24,"Unleaded Regular","Mount Kisco",NY,0,0,0,0,0,1,0
2024-08-05,09:19:00,NY23,29685753330,23.96,4.298,103,"Unleaded Regular","Mount Kisco",NY,0,0,0,0,0,1,0
2024-08-10,14:22:00,NY24,29752114660,17.186,3.959,68.04,"Unleaded Regular",Carmel,NY,0,0,1,0,0,0,0
2024-08-10,14:44:00,NY25,29756023270,16.027,4.098,65.69,"Unleaded Regular","Bedford Hills",NY,0,0,1,0,0,0,0
2024-07-16,08:29:00,NY26,29426953900,28.862,4.459,128.7,"Unleaded Regular","South Salem",NY,0,0,0,0,0,1,0
2024-08-13,16:21:00,NY26,29778773490,22.941,4.359,100,"Unleaded Regular","South Salem",NY,0,0,0,0,1,0,0
2024-08-02,11:58:00,NY26,29649257870,26.375,4.459,117.61,"Unleaded Regular","South Salem",NY,0,0,0,0,0,1,0
2024-07-31,08:49:00,NY26,29619027400,26.158,4.459,116.64,"Unleaded Regular","South Salem",NY,0,0,0,0,0,1,0
2024-07-26,12:54:00,NY26,29562491260,27.792,4.458,123.92,"Unleaded Regular","South Salem",NY,0,0,0,0,0,1,0
2024-07-19,15:46:00,NY26,29474846380,30.53,4.458,136.13,"Unleaded Regular","South Salem",NY,0,0,0,0,0,1,0
2024-07-17,14:24:00,NY26,29442920970,23.097,4.459,102.99,"Unleaded Regular","South Salem",NY,0,0,0,0,0,1,0
2024-07-12,08:14:00,NY26,29385360740,22.651,4.458,101,"Unleaded Regular","South Salem",NY,0,0,0,0,0,1,0
2024-07-09,15:45:00,NY26,29337940410,28.951,4.898,141.83,"Unleaded Plus","Mount Kisco",NY,0,0,0,0,0,1,1
2024-07-03,10:06:00,NY26,29282396090,32.582,4.458,145.28,"Unleaded Regular","South Salem",NY,0,0,0,0,0,1,0
2024-06-20,14:24:00,NY26,29121465780,25.947,4.358,113.1,"Unleaded Regular","South Salem",NY,0,0,0,0,0,1,0
2024-06-18,09:54:00,NY26,29090734680,28.965,4.359,126.26,"Unleaded Regular","South Salem",NY,0,0,0,0,0,1,0
2024-06-14,09:58:00,NY26,29049029010,27.23,4.359,118.7,"Unleaded Regular","South Salem",NY,0,0,0,0,0,1,0
2024-06-12,10:58:00,NY26,29017519580,32.519,4.358,141.75,"Unleaded Regular","South Salem",NY,0,0,0,0,0,1,0
2024-06-06,09:53:00,NY26,28945005200,24.85,4.358,108.32,"Unleaded Regular","South Salem",NY,0,0,0,0,0,1,0
2024-06-08,15:01:00,NY27,28974929800,12.082,3.399,41.07,"Unleaded Regular",Bronx,NY,0,1,1,0,0,0,0
2024-06-08,15:56:00,NY27,28974929810,16.764,4.498,75.42,"Unleaded Super",Bronx,NY,0,1,1,0,0,0,1
2024-08-07,15:46:00,NY28,29717150050,18.946,3.999,75.77,"Unleaded Regular",Yonkers,NY,0,1,0,0,0,0,0
2024-07-31,22:36:00,NY28,29621399730,7.249,3.658,26.52,"Unleaded Regular",Chester,NY,0,0,0,0,1,0,0
2024-08-05,12:29:00,NY28,29678831480,9.025,3.939,35.55,"Unleaded Regular",Yonkers,NY,0,1,0,0,0,0,0
2024-08-12,15:45:00,NY28,29773152710,9.49,3.998,37.95,"Unleaded Regular",Yonkers,NY,0,1,0,0,0,0,0
2024-08-09,14:44:00,NY28,29742652650,8.9,3.999,35.62,"Unleaded Regular",Greenwich,CT,0,1,0,0,0,0,0
2024-07-17,16:13:26,NY30,29453888340,15.125,3.498,52.92,"Unleaded Regular",Montrose,NY,0,0,0,0,1,0,0
2024-08-08,16:31:00,NY30,29728320780,13.13,4.599,60.42,"Unleaded Super",Buchanan,NY,0,0,0,0,1,0,1
2024-06-21,15:09:00,NY31,29138983590,10.432,3.758,39.21,"Unleaded Regular",Darien,CT,0,1,0,0,0,0,0
2024-08-06,14:42:00,NY32,29701298930,21.744,4.598,100,"Unleaded Super",Bronx,NY,0,1,0,0,0,0,1
2024-08-14,06:15:00,NY32,29788399630,22.447,4.159,93.36,"Regular Diesel #2",Bronx,NY,0,1,0,0,1,0,1
2024-08-13,20:09:00,NY32,29788624840,22.941,4.359,100,"Unleaded Super",Bronx,NY,0,1,0,0,1,0,1
2024-08-12,15:42:00,NY32,29773198070,22.031,4.539,100,"Unleaded Super",Bronx,NY,0,1,0,0,0,0,1
2024-08-11,23:17:00,NY32,29761744220,21.018,3.739,78.59,"Unleaded Regular",Bronx,NY,0,1,1,0,1,0,0
2024-08-10,00:18:00,NY32,29756231470,15.902,4.398,69.95,"Unleaded Super","New York",NY,0,1,1,0,1,0,1
2024-08-09,15:26:00,NY32,29747118750,16.675,4.599,76.69,"Unleaded Super",Bronx,NY,0,1,0,0,0,0,1
2024-08-08,21:53:00,NY32,29732715030,19.005,4.558,86.64,"Unleaded Super",Bronx,NY,0,1,0,0,1,0,1
2024-08-07,14:20:00,NY32,29717195570,14.341,4.598,65.95,"Unleaded Super",Bronx,NY,0,1,0,0,0,0,1
2024-08-06,15:10:00,NY32,29701231050,21.744,4.598,100,"Unleaded Super","New York",NY,0,1,0,0,0,0,1
