"Transaction Date","Transaction Time","Post Date","Account Number","Card Number","Trans ID",Units,"Unit of Measure","Unit Cost","Total Fuel Cost","Total Non-Fuel Cost","Gross Cost","Net Cost","Reported Tax",Product,"Product Description","Merchant (Brand)","Merchant Name","Merchant Address","Merchant City","Merchant State / Province","Merchant Postal Code",VIN,"Tank Capacity","Driver Last Name",Hub,"Outside of Home States","Outside of Service Area",Weekend,Holiday,"Irregular Hours","Purchase > $100","Not Unleaded Regular"
2024-06-20,09:50:00,2024-06-24,REDACTED,CT5,29130938330,11.263,GA,3.278,36.93,0,36.93,36.93,-4.88,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT5,NULL,CT5,CT,0,0,0,0,0,0,0
2024-06-26,07:25:00,2024-06-28,REDACTED,CT5,29206242920,12.276,GA,3.299,40.5,0,40.5,40.5,-5.32,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT5,NULL,CT5,CT,0,0,0,0,0,0,0
2024-07-02,06:54:00,2024-07-04,REDACTED,CT5,29278641560,10.358,GA,3.379,35,0,35,35,-4.49,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT5,NULL,CT5,CT,0,0,0,0,0,0,0
2024-07-15,06:13:00,2024-07-17,REDACTED,CT5,29423050880,12.503,GA,3.399,42.5,0,42.5,42.5,-5.42,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT5,NULL,CT5,CT,0,0,0,0,1,0,0
2024-07-17,06:57:00,2024-07-19,REDACTED,CT5,29455034490,13.621,GA,3.399,46.3,0,46.3,46.3,-5.9,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT5,NULL,CT5,CT,0,0,0,0,0,0,0
2024-07-18,13:30:00,2024-07-22,REDACTED,CT5,29470969520,12.356,GA,3.399,42,0,42,42,-5.35,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT5,NULL,CT5,CT,0,0,0,0,0,0,0
2024-07-24,10:41:00,2024-07-26,REDACTED,CT5,29541747590,10.949,GA,3.379,37,0,37,37,-4.74,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT5,NULL,CT5,CT,0,0,0,0,0,0,0
2024-07-25,10:40:00,2024-07-29,REDACTED,CT5,29558794770,8.038,GA,3.359,27,0,27,27,-3.48,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT5,NULL,CT5,CT,0,0,0,0,0,0,0
2024-07-31,06:57:00,2024-08-02,REDACTED,CT5,29631006110,15.277,GA,3.339,51.01,0,51.01,51.01,-6.62,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT5,NULL,CT5,CT,0,0,0,0,0,0,0
2024-08-05,13:49:00,2024-08-07,REDACTED,CT5,29687732820,12.887,GA,3.259,42,0,42,42,-5.58,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT5,NULL,CT5,CT,0,0,0,0,0,0,0
2024-08-08,09:28:00,2024-08-12,REDACTED,CT5,29732647960,14.436,GA,3.338,48.2,0,48.2,48.2,-6.25,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT5,NULL,CT5,CT,0,0,0,0,0,0,0
2024-08-12,07:19:00,2024-08-14,REDACTED,CT5,29774982580,13.81,GA,3.259,45.01,0,45.01,45.01,-5.98,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT5,NULL,CT5,CT,0,0,0,0,0,0,0
2024-08-14,07:28:00,2024-08-16,REDACTED,CT5,29806367770,13.899,GA,3.259,45.3,0,45.3,45.3,-6.01,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT5,NULL,CT5,CT,0,0,0,0,0,0,0
2024-06-13,09:20:00,2024-06-17,REDACTED,NY2,29045091600,30.912,GA,3.539,109.4,0,109.4,109.4,-19.95,UNL,"Unleaded Regular",REDACTED,REDACTED,"1432 Route 9D","Wappingers Falls",NY,12590-7109,NY2,NULL,NY2,NY,0,0,0,0,0,1,0
2024-06-25,12:53:00,2024-06-27,REDACTED,NY2,29179174520,28.267,GA,3.619,102.3,0,102.3,102.3,-18.32,UNL,"Unleaded Regular",REDACTED,REDACTED,"823 Route 52",Fishkill,NY,12524-1561,NY2,NULL,NY2,NY,0,0,0,0,0,1,0
2024-06-28,11:08:00,2024-07-02,REDACTED,NY2,29235922080,25.772,GA,3.698,95.33,0,95.33,95.33,-16.78,UNL,"Unleaded Regular",REDACTED,REDACTED,"5004 Rte 9 W",Newburgh,NY,12550,NY2,NULL,NY2,NY,0,0,0,0,0,0,0
2024-07-11,10:44:00,2024-07-15,REDACTED,NY2,29379307590,25.806,GA,3.418,88.23,0,88.23,88.23,-16.52,UNL,"Unleaded Regular",REDACTED,REDACTED,"1499 Route 9","Wappingers Falls",NY,12590,NY2,NULL,NY2,NY,0,0,0,0,0,0,0
2024-07-29,09:45:00,2024-07-31,REDACTED,NY2,29597383460,30.257,GA,3.459,104.66,0,104.66,104.66,-19.44,UNL,"Unleaded Regular",REDACTED,REDACTED,"823 Route 52",Fishkill,NY,12524-1561,NY2,NULL,NY2,NY,0,0,0,0,0,1,0
2024-08-13,11:32:00,2024-08-15,REDACTED,NY2,29784859480,26.32,GA,3.799,100,0,100,100,-17.24,UNL,"Unleaded Regular",REDACTED,REDACTED,"1997 Route 52","East Fishkill",NY,12533,NY2,NULL,NY2,NY,0,0,0,0,0,0,0
2024-06-09,08:30:00,2024-06-11,REDACTED,CT6,28985497610,16.074,GA,3.459,55.6,0,55.6,55.6,-6.96,UNL,"Unleaded Regular",REDACTED,REDACTED,"28 Main St",Danbury,CT,6810,CT6,NULL,CT6,CT,0,0,1,0,0,0,0
2024-06-15,11:04:00,2024-06-18,REDACTED,CT6,29072018580,14.341,GA,3.999,57.35,0,57.35,57.35,-6.21,UNL,"Unleaded Regular",REDACTED,REDACTED,"40 Backus Ave",Danbury,CT,6810,CT6,NULL,CT6,CT,0,0,1,0,0,0,0
2024-06-20,10:05:00,2024-06-24,REDACTED,CT6,29126995710,12.32,GA,3.539,43.61,0,43.61,43.61,-5.33,UNL,"Unleaded Regular",REDACTED,REDACTED,"80 South St",Danbury,CT,6810,CT6,NULL,CT6,CT,0,0,0,0,0,0,0
2024-06-25,10:28:00,2024-06-27,REDACTED,CT6,29183986400,11.21,GA,3.539,39.7,0,39.7,39.7,-4.85,UNL,"Unleaded Regular",REDACTED,REDACTED,"80 South St",Danbury,CT,6810,CT6,NULL,CT6,CT,0,0,0,0,0,0,0
2024-07-05,13:29:00,2024-07-09,REDACTED,CT6,29306222440,16.05,GA,3.599,57.77,0,57.77,57.77,-6.95,UNL,"Unleaded Regular",REDACTED,REDACTED,"2 Old Shelter Rock Rd",Danbury,CT,06810-7057,CT6,NULL,CT6,CT,0,0,0,0,0,0,0
2024-07-22,11:13:00,2024-07-24,REDACTED,CT6,29505906940,13.51,GA,3.499,47.27,0,47.27,47.27,-5.85,UNL,"Unleaded Regular",REDACTED,REDACTED,"80 South St",Danbury,CT,6810,CT6,NULL,CT6,CT,0,0,0,0,0,0,0
2024-08-08,10:56:00,2024-08-12,REDACTED,CT6,29728809640,14.52,GA,3.399,49.36,0,49.36,49.36,-6.29,UNL,"Unleaded Regular",REDACTED,REDACTED,"80 South St",Danbury,CT,6810,CT6,NULL,CT6,CT,0,0,0,0,0,0,0
2024-08-12,15:02:00,2024-08-14,REDACTED,CT7,29776916740,29.77,GA,3.359,100,0,100,100,-12.89,UNL,"Unleaded Regular",REDACTED,REDACTED,"28 Main St",Danbury,CT,6810,CT7,NULL,CT7,CT,0,0,0,0,0,0,0
2024-06-06,06:11:00,2024-06-10,REDACTED,CT8,28956756450,10.023,GA,3.359,33.67,0,33.67,33.67,-4.34,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT8,NULL,CT8,CT,0,0,0,0,1,0,0
2024-06-07,15:44:00,2024-06-11,REDACTED,CT8,28972103330,8.984,GA,3.339,30,0,30,30,-3.89,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT8,NULL,CT8,CT,0,0,0,0,0,0,0
2024-06-11,06:10:00,2024-06-13,REDACTED,CT8,29013476410,10.551,GA,3.339,35.23,0,35.23,35.23,-4.57,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT8,NULL,CT8,CT,0,0,0,0,1,0,0
2024-06-12,10:08:00,2024-06-14,REDACTED,CT8,29027150560,10.796,GA,3.358,36.26,0,36.26,36.26,-4.68,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT8,NULL,CT8,CT,0,0,0,0,0,0,0
2024-06-13,10:41:00,2024-06-17,REDACTED,CT8,29045179740,7.744,GA,3.299,25.55,0,25.55,25.55,-3.36,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT8,NULL,CT8,CT,0,0,0,0,0,0,0
2024-06-18,10:06:00,2024-06-20,REDACTED,CT8,29101186620,12.329,GA,3.319,40.92,0,40.92,40.92,-5.34,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT8,NULL,CT8,CT,0,0,0,0,0,0,0
2024-06-19,16:10:00,2024-06-21,REDACTED,CT8,29115568520,8.824,GA,3.278,28.93,0,28.93,28.93,-3.82,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT8,NULL,CT8,CT,0,0,0,0,0,0,0
2024-06-24,09:40:00,2024-06-26,REDACTED,CT8,29172139110,10.493,GA,3.319,34.83,0,34.83,34.83,-4.54,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT8,NULL,CT8,CT,0,0,0,0,0,0,0
2024-06-25,10:09:00,2024-06-27,REDACTED,CT8,29188240950,6.137,GA,3.319,20.37,0,20.37,20.37,-2.65,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT8,NULL,CT8,CT,0,0,0,0,0,0,0
2024-06-27,09:54:00,2024-07-01,REDACTED,CT8,29220582700,11.618,GA,3.399,39.49,0,39.49,39.49,-5.03,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT8,NULL,CT8,CT,0,0,0,0,0,0,0
2024-07-01,11:20:00,2024-07-03,REDACTED,CT8,29261101510,8.516,GA,3.399,28.95,0,28.95,28.95,-3.69,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT8,NULL,CT8,CT,0,0,0,0,0,0,0
2024-07-08,09:35:00,2024-07-10,REDACTED,CT8,29331929420,13.668,GA,3.459,47.28,0,47.28,47.28,-5.92,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT8,NULL,CT8,CT,0,0,0,0,0,0,0
2024-07-10,09:26:00,2024-07-12,REDACTED,CT8,29363457110,11.213,GA,3.459,38.79,0,38.79,38.79,-4.85,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT8,NULL,CT8,CT,0,0,0,0,0,0,0
2024-07-11,10:17:00,2024-07-15,REDACTED,CT8,29379348780,6.278,GA,3.459,21.72,0,21.72,21.72,-2.72,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT8,NULL,CT8,CT,0,0,0,0,0,0,0
2024-07-16,10:40:00,2024-07-18,REDACTED,CT8,29437180400,13.506,GA,3.419,46.18,0,46.18,46.18,-5.85,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT8,NULL,CT8,CT,0,0,0,0,0,0,0
2024-07-18,10:37:00,2024-07-22,REDACTED,CT8,29468960170,11.706,GA,3.418,40.02,0,40.02,40.02,-5.07,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT8,NULL,CT8,CT,0,0,0,0,0,0,0
2024-07-23,10:17:00,2024-07-25,REDACTED,CT8,29525818010,11.106,GA,3.399,37.75,0,37.75,37.75,-4.81,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT8,NULL,CT8,CT,0,0,0,0,0,0,0
2024-07-25,10:31:00,2024-07-29,REDACTED,CT8,29556811050,13.106,GA,3.399,44.55,0,44.55,44.55,-5.68,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT8,NULL,CT8,CT,0,0,0,0,0,0,0
2024-07-31,11:12:00,2024-08-02,REDACTED,CT8,29631006070,11.988,GA,4.099,49.14,0,49.14,49.14,-5.19,UN+,"Unleaded Plus",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT8,NULL,CT8,CT,0,0,0,0,0,0,1
2024-08-02,06:52:00,2024-08-06,REDACTED,CT8,29659747170,12.479,GA,4.379,54.65,0,54.65,54.65,-5.4,SUP,"Unleaded Super",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT8,NULL,CT8,CT,0,0,0,0,0,0,1
